PFA16CD,PFA16NM,FID
E23000001,Metropolitan Police,1
E23000002,Cumbria,2
E23000003,Lancashire,3
E23000004,Merseyside,4
E23000005,Greater Manchester,5
E23000006,Cheshire,6
E23000007,Northumbria,7
E23000008,Durham,8
E23000009,North Yorkshire,9
E23000010,West Yorkshire,10
E23000011,South Yorkshire,11
E23000012,Humberside,12
E23000013,Cleveland,13
E23000014,West Midlands,14
E23000015,Staffordshire,15
E23000016,West Mercia,16
E23000017,Warwickshire,17
E23000018,Derbyshire,18
E23000019,Nottinghamshire,19
E23000020,Lincolnshire,20
E23000021,Leicestershire,21
E23000022,Northamptonshire,22
E23000023,Cambridgeshire,23
E23000024,Norfolk,24
E23000025,Suffolk,25
E23000026,Bedfordshire,26
E23000027,Hertfordshire,27
E23000028,Essex,28
E23000029,Thames Valley,29
E23000030,Hampshire,30
E23000031,Surrey,31
E23000032,Kent,32
E23000033,Sussex,33
E23000034,City of London,34
E23000035,Devon and Cornwall,35
E23000036,Avon and Somerset,36
E23000037,Gloucestershire,37
E23000038,Wiltshire,38
E23000039,Dorset,39
W15000001,North Wales,40
W15000002,Gwent,41
W15000003,South Wales,42
W15000004,Dyfed-Powys,43
S23000009,Scotland,44
N99999999,Northern Ireland,45
L99999999,,46
M99999999,,47
