Codelist,Code,Label,ParentCode
offence,offence,Offence,
offence,miscellaneous-crimes-against-society,Miscellaneous crimes against society,offence
offence,sexual-offences,Sexual offences,offence
offence,theft-offences,Theft offences,offence
offence,criminal-damage-and-arson,Criminal damage and arson,offence
offence,violence-against-the-person,Violence against the person,offence
offence,drug-offences,Drug offences,offence
offence,possession-of-weapons-offences,Possession of weapons offences,offence
offence,public-order-offences,Public order offences,offence
offence,robbery,Robbery,offence
offence,fraud-offences,Fraud offences,offence
offence,absconding-from-lawful-custody,Miscellaneous crimes against society,miscellaneous-crimes-against-society
offence,abuse-of-children-through-sexual-exploitation,Other sexual offences,sexual-offences
offence,aggravated-burglary-business-and-community,Non-domestic burglary,theft-offences
offence,aggravated-burglary-in-a-dwelling-(outcome-only),Domestic burglary,theft-offences
offence,aggravated-vehicle-taking,Theft of a motor vehicle,theft-offences
offence,arson-endangering-life,Arson,criminal-damage-and-arson
offence,assault-with-injury,Violence with injury,violence-against-the-person
offence,assault-without-injury,Violence without injury,violence-against-the-person
offence,blackmail,Other theft offences,theft-offences
offence,criminal-damage-to-a-building-other-than-a-dwelling,Criminal damage,criminal-damage-and-arson
offence,harassment,Harassment,violence-against-the-person
offence,homicide,Homicide,violence-against-the-person
offence,interfering-with-a-motor-vehicle,Vehicle interference,theft-offences
offence,other-drug-offences,Possession of drugs,drug-offences
offence,other-firearms-offences,Possession of weapons offences,possession-of-weapons-offences
offence,other-offences-against-the-state-or-public-order,Public order offences,public-order-offences
offence,rape-of-a-female-aged-16-and-over,Rape,sexual-offences
offence,robbery-of-business-property,Robbery of business property,robbery
offence,robbery-of-personal-property,Robbery of personal property,robbery
offence,shoplifting,Shoplifting,theft-offences
offence,theft-from-the-person,Theft from the person,theft-offences
offence,theft-from-vehicle,Theft from a vehicle,theft-offences
offence,theft-or-unauthorised-taking-of-a-pedal-cycle,Bicycle theft,theft-offences
offence,trafficking-in-controlled-drugs,Trafficking of drugs,drug-offences
offence,bankruptcy-and-insolvency-(outcomes-only),Fraud offences to 2012/13,fraud-offences
offence,80,Absconding from lawful custody,absconding-from-lawful-custody
offence,71,Abuse of children through sexual exploitation,abuse-of-children-through-sexual-exploitation
offence,73,Abuse of position of trust of a sexual nature,abuse-of-children-through-sexual-exploitation
offence,31A,Aggravated Burglary Business and Community,aggravated-burglary-business-and-community
offence,31,Aggravated burglary in a building other than a dwelling(outcome only),aggravated-burglary-business-and-community
offence,29,Aggravated burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,29A,Aggravated Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,37.2,Aggravated vehicle taking,aggravated-vehicle-taking
offence,76,Aiding suicide,absconding-from-lawful-custody
offence,56A,Arson endangering life,arson-endangering-life
offence,56B,Arson not endangering life,arson-endangering-life
offence,8N,Assault with injury,assault-with-injury
offence,8S,Assault with injury on a constable,assault-with-injury
offence,5D,Assault with intent to cause serious harm,assault-with-injury
offence,105A,Assault without injury,assault-without-injury
offence,104,Assault without injury on a constable,assault-without-injury
offence,30D,Attempted Burglary Business and Community,aggravated-burglary-business-and-community
offence,30B,Attempted burglary in a building other than a dwelling (outcome only),aggravated-burglary-business-and-community
offence,28B,Attempted burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28F,Attempted Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28D,Attempted distraction burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28H,Attempted Distraction Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,2,Attempted murder,assault-with-injury
offence,83,Bail offences,absconding-from-lawful-custody
offence,26,Bigamy,absconding-from-lawful-custody
offence,35,Blackmail,blackmail
offence,30C,Burglary Business and Community,aggravated-burglary-business-and-community
offence,30A,Burglary in a building other than a dwelling (outcome only),aggravated-burglary-business-and-community
offence,28A,Burglary in a dwelling(outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28E,Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,37.1,Causing death by aggravated vehicle taking,assault-with-injury
offence,4.6,Causing death by careless driving under influence of drink or drugs,assault-with-injury
offence,4.8,Causing death by careless or inconsiderate driving,assault-with-injury
offence,4.4,Causing death by dangerous driving,assault-with-injury
offence,4.9,Causing death or serious injury by driving: unlicensed drivers etc.,assault-with-injury
offence,4.7,Causing or allowing death of child or vulnerable person,assault-with-injury
offence,22A,Causing sexual activity without consent,abuse-of-children-through-sexual-exploitation
offence,13,Child abduction,assault-without-injury
offence,15,Concealing an infant death close to birth,absconding-from-lawful-custody
offence,3A,Conspiracy to murder,assault-without-injury
offence,58B,Criminal damage to a building other than a dwelling,criminal-damage-to-a-building-other-than-a-dwelling
offence,58A,Criminal damage to a dwelling,criminal-damage-to-a-building-other-than-a-dwelling
offence,58C,Criminal damage to a vehicle,criminal-damage-to-a-building-other-than-a-dwelling
offence,11A,Cruelty to children/young persons,assault-without-injury
offence,802,Dangerous driving,absconding-from-lawful-custody
offence,95,"Disclosure, obstruction, false or misleading statements etc",absconding-from-lawful-custody
offence,43,Dishonest use of electricity,blackmail
offence,28C,Distraction burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28G,Distraction Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,5E,Endangering life,assault-with-injury
offence,24,Exploitation of prostitution,absconding-from-lawful-custody
offence,88E,Exposure and voyeurism,abuse-of-children-through-sexual-exploitation
offence,60,Forgery or use of false drug prescription,absconding-from-lawful-custody
offence,814,"Fraud, forgery etc associated with vehicle or driver records",absconding-from-lawful-custody
offence,33,"Going equipped for stealing, etc",absconding-from-lawful-custody
offence,54,Handling stolen goods,absconding-from-lawful-custody
offence,8L,Harassment,harassment
offence,1/4.1/4.10/4.2,Homicide,homicide
offence,23,Incest or familial sexual offences,abuse-of-children-through-sexual-exploitation
offence,4.3,Intentional destruction of a viable unborn child,assault-with-injury
offence,126,Interfering with a motor vehicle,interfering-with-a-motor-vehicle
offence,36,Kidnapping,assault-without-injury
offence,49A,Making off without payment,blackmail
offence,33A,"Making, supplying or possessing articles for use in fraud",absconding-from-lawful-custody
offence,8R,Malicious Communications,harassment
offence,106,Modern slavery,assault-without-injury
offence,86,Obscene publications etc,absconding-from-lawful-custody
offence,69,Offender Management Act offences,absconding-from-lawful-custody
offence,58D,Other criminal damage,criminal-damage-to-a-building-other-than-a-dwelling
offence,92C,Other drug offences,other-drug-offences
offence,81,Other firearms offences,other-firearms-offences
offence,61,Other forgery,absconding-from-lawful-custody
offence,90,Other knives offences,other-firearms-offences
